cluster_id	x	y	num_recent_articles	cluster_category	growth_rating	key_concepts
64950	-41.2186	188.0138	48	0	64.53	190603,103037,104364,234371,192785
53291	-41.8523	167.515	59	0	84.01	119126,223861,144946,182834,226898
66737	-47.0669	172.0473	96	0	90.86	14275,82407,249864,7452,96391
47163	-38.5361	160.2645	142	0	76.88	209876,182231,182232,100636,213862
29720	-55.1308	163.2825	244	0	35.17	21120,14387,172319,14393,115942
48478	-26.8088	133.3717	139	0	51.22	140653,190608,21915,115428,254842
46000	-41.7564	127.5138	45	0	83.25	159514,112900,144956,147174,247555
83390	-8.4006	129.4568	80	0	90.11	58884,213031,126208,192786,192832
27872	-43.0755	178.0175	165	0	64.02	83753,121631,254836,126211,6944
74490	-30.9371	166.6326	71	0	66.9	104895,104268,104894,84892,213818
43191	-41.3841	236.1448	114	0	13.79	40331,96234,96228,19631,211926
56750	-53.1084	153.4148	98	0	15.55	78453,126211,174076,79906,6752
55676	-41.7501	191.9674	119	0	9.5	247520,247517,9154,99492,40828
58986	-15.1988	135.6398	82	0	7.2	171416,78028,260181,171419,147854
75926	-19.3727	132.3814	65	0	88.84	115428,85359,93154,87665,271646
65735	-29.0645	136.7253	112	0	77.99	140184,28463,74525,74466,43968
11518	-20.0515	116.055	401	0	18.5	179512,124457,85954,85958,190029
70981	-35.9967	127.8503	113	0	48.19	234375,192779,159497,192813,99451
30877	-37.6714	179.6392	300	0	7.06	247520,126211,95632,40828,9378
73618	-16.3913	115.5832	71	0	91.84	190036,151509,151510,147615,196884
70521	-17.7825	193.6452	141	0	32.75	14387,111947,33564,240995,93360
67354	6.5799	126.5272	134	0	84.38	57307,192948,162324,57199,26508
13957	-49.4019	190.4083	178	0	76.43	59693,89481,81831,139907,12228
37112	-11.8846	121.8665	367	0	42.7	126160,192972,144686,101467,25886
45598	-53.6499	137.4335	321	0	78.08	83750,93420,163305,83767,82156
65173	-14.0222	119.963	82	0	9.88	210857,57413,127812,6621,26744
61012	-52.5262	147.1234	77	0	66.94	84902,84893,40748,137771,254881
44057	-10.7732	121.9713	137	0	65.67	77402,77933,126134,210856,254303
21105	-1.0591	117.5957	179	0	35.7	197303,262167,166435,192185,171417
77777	-43.3998	150.8896	45	0	48.18	192832,126017,254239,192786,213873
41778	-1.3189	139.268	104	0	25.09	19697,182240,192966,219254,254852
58807	-34.7102	148.8379	139	0	53.69	112849,6773,219219,219220,144692
29878	-46.7886	170.5344	154	0	77.22	170429,29447,19425,99699,254881
38211	-14.7835	138.4962	73	0	68.22	159030,15618,272408,119243,207902
62865	-40.1226	144.3372	87	0	76.96	83778,7607,185856,192955,206868
38420	-40.6687	152.9101	282	0	18.63	83750,210190,69266,144647,108618
23024	-45.5933	174.8475	176	0	30.7	156240,246634,156241,11875,246633
21561	-61.5345	165.082	165	0	59.27	247567,147583,147854,82171,72382
4626	-49.0333	163.678	258	0	49.16	170554,242333,94962,56478,188030
80788	-52.8298	145.3081	59	0	46.28	83750,127810,217767,74927,93230
36234	-40.3045	109.4492	111	0	18.94	179483,93156,208240,74655,5906
32322	-46.3442	249.0374	171	0	36.22	75332,140185,176660,66149,30481
